idx,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,lat,lon,indoor,delta_1_12,delta_1_13,delta_1_23,delta_2_12,delta_2_13,delta_2_23,delta_3_12,delta_3_13,delta_3_23,dist_1,dist_2,dist_3,ang_1,ang_2,ang_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23
8861,-88.48,-97.21,-86.91,-90.0076923076923,-91.8733333333333,-90.8283333333333,-91.61,-96.7,-95.3075,-8.049760000000001,-34.95309,False,8.72999999999999,-1.5700000000000074,-10.299999999999997,1.8656410256410112,0.8206410256410095,-1.0450000000000017,5.090000000000003,3.697500000000005,-1.3924999999999983,0.7113987500283642,0.9903789603246292,0.8119320451524878,-170.27651384407693,-69.5421109077233,40.76948451977563,3.0,4.0,3.0,1.0,0.0,1.0
8862,-91.33,-95.31857142857142,-85.25571428571429,-86.26,-89.33,-84.64,-91.8966666666667,-97.358,-95.3075,-8.04975,-34.95309,False,3.9885714285714187,-6.074285714285708,-10.062857142857126,3.069999999999993,-1.6200000000000045,-4.689999999999998,5.4613333333333,3.4108333333333007,-2.0504999999999995,0.7103087024376995,0.990766077563462,0.8127699659213337,-170.26144657318022,-69.48218774732284,40.71857330509781,2.0,4.0,3.0,2.0,1.0,1.0
8863,-93.95,-95.31857142857142,-85.25571428571429,-86.51,-90.3708333333333,-87.69547619047621,-87.11,-97.358,-95.3075,-8.04975,-34.95308,False,1.3685714285714141,-8.694285714285712,-10.062857142857126,3.8608333333332894,1.1854761904762086,-2.675357142857081,10.248000000000005,8.197500000000005,-2.0504999999999995,0.7101230738962767,0.9897337883702532,0.8134894632474227,-170.3491031571507,-69.4598204412977,40.77741694664861,2.0,4.0,3.0,2.0,1.0,1.0
8864,-95.89714285714292,-100.04,-96.13285714285708,-84.25,-97.34,-93.45,-94.9433333333333,-96.632,-96.7925,-8.04975,-34.95043,False,4.142857142857082,0.23571428571415254,-3.9071428571429294,13.090000000000003,9.200000000000003,-3.8900000000000006,1.6886666666667054,1.8491666666667044,0.16049999999999898,0.7211467346818319,0.7234937420156592,1.0283420479071825,166.11463053267912,-61.315485603033096,53.19920532847151,3.0,3.0,4.0,0.0,1.0,1.0
8865,-97.19714285714292,-86.66642857142858,-97.17285714285721,-97.77,-92.7425,-96.7742857142857,-92.9583333333333,-95.518,-98.9125,-8.04975,-34.94758,False,-10.530714285714339,-0.02428571428571047,10.506428571428629,-5.027499999999989,-0.9957142857142998,4.031785714285689,2.5596666666667005,5.954166666666694,3.3944999999999936,0.852927456326211,0.4725972139155527,1.2936513910811602,145.16409603853543,-42.708598035880875,61.564053229547035,3.0,1.0,5.0,2.0,2.0,4.0
8866,-97.00142857142859,-85.96142857142858,-93.41714285714279,-57.27,-84.965,-85.9,-89.0,-94.342,-98.9125,-8.04975,-34.94583,False,-11.040000000000006,-3.584285714285798,7.455714285714208,27.695,28.630000000000003,0.9350000000000023,5.341999999999999,9.912499999999994,4.570499999999996,0.9760482666406273,0.369987854115407,1.4661580152123728,135.82852377330943,-20.18186007250747,65.15619303000085,4.0,1.0,6.0,3.0,2.0,5.0
8867,-84.9357142857143,-94.0842857142857,-83.87,-100.68,-97.8975,-93.0942857142857,-82.5833333333333,-102.688,-87.83,-8.04974,-34.9595,False,9.148571428571401,-1.065714285714293,-10.214285714285694,-2.782500000000013,-7.585714285714303,-4.80321428571429,20.104666666666702,5.246666666666698,-14.858000000000004,1.0826070983985423,1.6711970410144374,0.6418331142755471,-130.21368221151528,-77.96892395645337,-15.94935962592362,4.0,7.0,2.0,3.0,2.0,5.0
8868,-77.45,-98.5492857142857,-80.42809523809521,-99.97166666666661,-97.66,-95.4,-80.885,-99.9346666666667,-97.6,-8.04974,-34.95468,False,21.0992857142857,2.9780952380952073,-18.121190476190492,-2.3116666666666106,-4.5716666666666015,-2.259999999999991,19.049666666666695,16.71499999999999,-2.334666666666706,0.7588325246706872,1.1568773030616175,0.7119167098577805,-157.08883810076082,-72.47484447112771,29.905428074614658,3.0,4.0,3.0,1.0,0.0,1.0
8869,-75.95,-94.8728571428571,-69.76,-90.08,-88.21,-91.38285714285708,-93.3966666666667,-97.054,-97.54,-8.04974,-34.95368,False,18.922857142857097,-6.189999999999998,-25.112857142857095,-1.8700000000000045,1.3028571428570785,3.172857142857083,3.6573333333332982,4.1433333333333024,0.4860000000000042,0.7230831537192802,1.0522882502386788,0.7728032267967195,-165.16084741177374,-70.66709866936961,37.00793840925462,3.0,4.0,3.0,1.0,0.0,1.0
8870,-88.9642857142857,-93.64,-87.14,-85.14,-90.77833333333332,-87.69547619047621,-91.8966666666667,-97.358,-95.3075,-8.04974,-34.95308,False,4.675714285714307,-1.8242857142856934,-6.5,5.638333333333321,2.555476190476213,-3.082857142857108,5.4613333333333,3.4108333333333007,-2.0504999999999995,0.7090327902068283,0.9901223931849862,0.8143272835281732,-170.3341203861246,-69.39989051464907,40.72659493731816,2.0,4.0,3.0,2.0,1.0,1.0
8871,-95.89714285714292,-97.48285714285721,-93.93428571428568,-78.51,-96.0925,-94.9257142857143,-94.9433333333333,-96.742,-96.7925,-8.049719999999999,-34.95045,False,1.585714285714289,-1.9628571428572457,-3.5485714285715346,17.582499999999996,16.4157142857143,-1.1667857142856946,1.7986666666667048,1.8491666666667044,0.050499999999999545,0.7173980029458008,0.7270227067110309,1.028572064360791,166.2219653924885,-61.16949444904267,52.97765076580642,3.0,3.0,4.0,0.0,1.0,1.0
8872,-97.19714285714292,-81.96,-95.84571428571432,-96.73,-92.7425,-98.05142857142859,-96.58,-95.518,-98.9125,-8.049719999999999,-34.94747,False,-15.237142857142928,-1.351428571428599,13.885714285714329,-3.987499999999997,1.3214285714285836,5.308928571428581,-1.0619999999999976,2.332499999999996,3.3944999999999936,0.8572124774658093,0.4669444838052099,1.3058967095125824,144.37218459335855,-41.33906132275346,61.68938139873587,3.0,1.0,5.0,2.0,2.0,4.0
8873,-86.2,-94.0842857142857,-83.9585714285714,-94.96,-97.8975,-93.0942857142857,-82.5833333333333,-102.688,-89.52,-8.049710000000001,-34.95953,False,7.884285714285696,-2.2414285714285995,-10.125714285714295,2.9375,-1.86571428571429,-4.80321428571429,20.104666666666702,6.936666666666696,-13.168000000000006,1.0830003748471018,1.675124929164107,0.6459359405010067,-129.96668375513147,-77.88151370344613,-16.150527261121486,4.0,7.0,2.0,3.0,2.0,5.0
8874,-81.2,-98.0107142857143,-81.3666666666667,-99.55,-97.245,-93.06714285714293,-80.885,-99.9346666666667,-93.47,-8.049710000000001,-34.95468,False,16.810714285714297,0.16666666666669983,-16.644047619047598,-2.3049999999999926,-6.482857142857071,-4.1778571428570785,19.049666666666695,12.584999999999994,-6.464666666666702,0.7557775044208456,1.1578807984368902,0.714794740959973,-156.99091510571176,-72.3182861400608,29.772834453165206,3.0,4.0,3.0,1.0,0.0,1.0
8875,-80.2464285714286,-98.0107142857143,-81.3666666666667,-99.55,-97.245,-93.06714285714293,-71.0,-99.9346666666667,-95.8475,-8.049710000000001,-34.954640000000005,False,17.764285714285705,1.1202380952381077,-16.644047619047598,-2.3049999999999926,-6.482857142857071,-4.1778571428570785,28.9346666666667,24.847499999999997,-4.087166666666704,0.7540649458576015,1.1536807101220174,0.7169943662804976,-157.29928430145677,-72.25177169296134,30.07867178870944,3.0,4.0,3.0,1.0,0.0,1.0
8876,-88.0357142857143,-93.96,-82.73125,-88.26,-91.39,-88.29404761904759,-91.8966666666667,-97.358,-96.28,-8.049710000000001,-34.95308,False,5.924285714285688,-5.304464285714303,-11.228749999999991,3.1299999999999955,0.03404761904758402,-3.0959523809524114,5.4613333333333,4.383333333333297,-1.078000000000003,0.7057622318479473,0.9912946969466194,0.816844572809597,-170.28889433728358,-69.22038357383947,40.57475499103719,2.0,4.0,3.0,2.0,1.0,1.0
8877,-97.19714285714292,-86.1,-95.84571428571432,-100.29,-92.7425,-98.05142857142859,-92.9583333333333,-95.518,-98.9125,-8.049710000000001,-34.94758,False,-11.097142857142927,-1.351428571428599,9.745714285714328,-7.547499999999999,-2.2385714285714187,5.308928571428581,2.5596666666667005,5.954166666666694,3.3944999999999936,0.8493001916084355,0.4758573912099121,1.2957638558873277,144.99361428209585,-42.34731502710299,61.39204355453636,3.0,2.0,5.0,1.0,2.0,3.0
8878,-76.39,-94.0842857142857,-83.9585714285714,-94.46,-96.34,-93.0942857142857,-82.5833333333333,-102.688,-83.33,-8.04969,-34.95956,False,17.694285714285698,7.568571428571403,-10.125714285714295,1.8800000000000097,-1.36571428571429,-3.2457142857142998,20.104666666666702,0.7466666666666981,-19.358000000000004,1.0841208287452804,1.6788231865023002,0.6489854620839247,-129.76482835211874,-77.8314039597167,-16.37663740057053,4.0,7.0,2.0,3.0,2.0,5.0
8879,-79.45,-98.0107142857143,-86.01,-99.55,-97.245,-86.64,-80.885,-99.9346666666667,-95.8475,-8.04968,-34.95469,False,18.560714285714297,6.560000000000002,-12.000714285714295,-2.3049999999999926,-12.909999999999997,-10.605000000000004,19.049666666666695,14.962499999999991,-4.087166666666704,0.7531580095977701,1.159942272348082,0.7171320544953691,-156.81506933917248,-72.17868039511238,29.56476048573273,3.0,4.0,3.0,1.0,0.0,1.0
8880,-97.19714285714292,-91.76,-95.84571428571432,-87.64,-92.7425,-98.05142857142859,-92.12,-95.518,-98.9125,-8.04968,-34.94758,False,-5.437142857142916,-1.351428571428599,4.085714285714317,5.102500000000006,10.411428571428587,5.308928571428581,3.397999999999996,6.79249999999999,3.3944999999999936,0.8465847145317363,0.4783147922804344,1.2973558466254678,144.86479509002385,-42.07959254224373,61.26340474951907,3.0,2.0,5.0,1.0,2.0,3.0
8881,-84.9357142857143,-94.0842857142857,-83.9585714285714,-101.25,-97.8975,-93.0942857142857,-82.5833333333333,-102.688,-88.33,-8.049669999999999,-34.95959000000001,False,9.148571428571401,-0.9771428571428942,-10.125714285714295,-3.3525000000000063,-8.155714285714296,-4.80321428571429,20.104666666666702,5.746666666666698,-14.358000000000004,1.0852547110802222,1.682522722575687,0.6520449960691524,-129.5633922522556,-77.78151455135352,-16.60062912081828,4.0,7.0,2.0,3.0,2.0,5.0
8882,-86.6575,-92.67285714285721,-78.25,-83.75,-90.52,-87.16833333333332,-91.8966666666667,-97.358,-96.1725,-8.049669999999999,-34.95308,False,6.015357142857212,-8.407499999999999,-14.422857142857211,6.769999999999996,3.4183333333333223,-3.3516666666666737,5.4613333333333,4.275833333333296,-1.1855000000000047,0.7014021788492844,0.9928728626048214,0.8202098183945331,-170.22793690993285,-68.98170371653796,40.3737535449402,2.0,4.0,3.0,2.0,1.0,1.0
8883,-96.59,-94.0842857142857,-83.9585714285714,-100.74,-97.8975,-88.95,-82.5833333333333,-102.688,-84.58,-8.049660000000001,-34.95963,False,-2.505714285714305,-12.6314285714286,-10.125714285714295,-2.842500000000001,-11.789999999999992,-8.947499999999991,20.104666666666702,1.9966666666666981,-18.108000000000004,1.087955656373541,1.687066117518347,0.6543762238915319,-129.37059460663994,-77.77650249831707,-16.942934770814183,4.0,7.0,2.0,3.0,2.0,5.0
8884,-80.2464285714286,-97.57214285714292,-81.3666666666667,-97.72,-97.7525,-93.3442857142857,-80.885,-99.9346666666667,-96.4125,-8.049660000000001,-34.95471,False,17.325714285714326,1.1202380952381077,-16.20547619047622,0.03249999999999886,-4.375714285714295,-4.408214285714294,19.049666666666695,15.52749999999999,-3.522166666666706,0.7519982771262538,1.162718957141227,0.7179745447134135,-156.59431240073238,-72.10816445287296,29.324641499803743,3.0,4.0,3.0,1.0,0.0,1.0
